time,mass,MOIx,MOIy,MOIz,centre-of-mass
72.205000,37.811851,0.196000,218.988000,218.988000,1.965960
72.210000,37.811851,0.196000,218.988000,218.988000,1.965960
72.215000,37.811851,0.196000,218.988000,218.988000,1.965960
72.220000,37.811851,0.196000,218.988000,218.988000,1.965960
72.225000,37.811851,0.196000,218.988000,218.988000,1.965960
72.230000,37.811851,0.196000,218.988000,218.988000,1.965960
72.235000,37.811851,0.196000,218.988000,218.988000,1.965960
72.240000,37.811851,0.196000,218.988000,218.988000,1.965960
72.245000,37.811851,0.196000,218.988000,218.988000,1.965960
72.250000,37.811851,0.196000,218.988000,218.988000,1.965960
72.255000,37.811851,0.196000,218.988000,218.988000,1.965960
72.260000,37.811851,0.196000,218.988000,218.988000,1.965960
72.265000,37.811851,0.196000,218.988000,218.988000,1.965960
72.270000,37.811851,0.196000,218.988000,218.988000,1.965960
72.275000,37.811851,0.196000,218.988000,218.988000,1.965960
72.280000,37.811851,0.196000,218.988000,218.988000,1.965960
72.285000,37.811851,0.196000,218.988000,218.988000,1.965960
72.290000,37.811851,0.196000,218.988000,218.988000,1.965960
72.295000,37.811851,0.196000,218.988000,218.988000,1.965960
72.300000,37.811851,0.196000,218.988000,218.988000,1.965960
72.305000,37.811851,0.196000,218.988000,218.988000,1.965960
72.310000,37.811851,0.196000,218.988000,218.988000,1.965960
72.315000,37.811851,0.196000,218.988000,218.988000,1.965960
72.320000,37.811851,0.196000,218.988000,218.988000,1.965960
72.325000,37.811851,0.196000,218.988000,218.988000,1.965960
72.330000,37.811851,0.196000,218.988000,218.988000,1.965960
72.335000,37.811851,0.196000,218.988000,218.988000,1.965960
72.340000,37.811851,0.196000,218.988000,218.988000,1.965960
72.345000,37.811851,0.196000,218.988000,218.988000,1.965960
72.350000,37.811851,0.196000,218.988000,218.988000,1.965960
72.355000,37.811851,0.196000,218.988000,218.988000,1.965960
72.360000,37.811851,0.196000,218.988000,218.988000,1.965960
72.365000,37.811851,0.196000,218.988000,218.988000,1.965960
72.370000,37.811851,0.196000,218.988000,218.988000,1.965960
72.375000,37.811851,0.196000,218.988000,218.988000,1.965960
72.380000,37.811851,0.196000,218.988000,218.988000,1.965960
72.385000,37.811851,0.196000,218.988000,218.988000,1.965960
72.390000,37.811851,0.196000,218.988000,218.988000,1.965960
72.395000,37.811851,0.196000,218.988000,218.988000,1.965960
72.400000,37.811851,0.196000,218.988000,218.988000,1.965960
72.405000,37.811851,0.196000,218.988000,218.988000,1.965960
72.410000,37.811851,0.196000,218.988000,218.988000,1.965960
72.415000,37.811851,0.196000,218.988000,218.988000,1.965960
72.420000,37.811851,0.196000,218.988000,218.988000,1.965960
72.425000,37.811851,0.196000,218.988000,218.988000,1.965960
72.430000,37.811851,0.196000,218.988000,218.988000,1.965960
72.435000,37.811851,0.196000,218.988000,218.988000,1.965960
72.440000,37.811851,0.196000,218.988000,218.988000,1.965960
72.445000,37.811851,0.196000,218.988000,218.988000,1.965960
72.450000,37.811851,0.196000,218.988000,218.988000,1.965960
72.455000,37.811851,0.196000,218.988000,218.988000,1.965960
72.460000,37.811851,0.196000,218.988000,218.988000,1.965960
72.465000,37.811851,0.196000,218.988000,218.988000,1.965960
72.470000,37.811851,0.196000,218.988000,218.988000,1.965960
72.475000,37.811851,0.196000,218.988000,218.988000,1.965960
72.480000,37.811851,0.196000,218.988000,218.988000,1.965960
72.485000,37.811851,0.196000,218.988000,218.988000,1.965960
72.490000,37.811851,0.196000,218.988000,218.988000,1.965960
72.495000,37.811851,0.196000,218.988000,218.988000,1.965960
72.500000,37.811851,0.196000,218.988000,218.988000,1.965960
72.505000,37.811851,0.196000,218.988000,218.988000,1.965960
72.510000,37.811851,0.196000,218.988000,218.988000,1.965960
72.515000,37.811851,0.196000,218.988000,218.988000,1.965960
72.520000,37.811851,0.196000,218.988000,218.988000,1.965960
72.525000,37.811851,0.196000,218.988000,218.988000,1.965960
72.530000,37.811851,0.196000,218.988000,218.988000,1.965960
72.535000,37.811851,0.196000,218.988000,218.988000,1.965960
72.540000,37.811851,0.196000,218.988000,218.988000,1.965960
72.545000,37.811851,0.196000,218.988000,218.988000,1.965960
72.550000,37.811851,0.196000,218.988000,218.988000,1.965960
72.555000,37.811851,0.196000,218.988000,218.988000,1.965960
72.560000,37.811851,0.196000,218.988000,218.988000,1.965960
72.565000,37.811851,0.196000,218.988000,218.988000,1.965960
72.570000,37.811851,0.196000,218.988000,218.988000,1.965960
72.575000,37.811851,0.196000,218.988000,218.988000,1.965960
72.580000,37.811851,0.196000,218.988000,218.988000,1.965960
72.585000,37.811851,0.196000,218.988000,218.988000,1.965960
72.590000,37.811851,0.196000,218.988000,218.988000,1.965960
72.595000,37.811851,0.196000,218.988000,218.988000,1.965960
72.600000,37.811851,0.196000,218.988000,218.988000,1.965960
72.605000,37.811851,0.196000,218.988000,218.988000,1.965960
72.610000,37.811851,0.196000,218.988000,218.988000,1.965960
72.615000,37.811851,0.196000,218.988000,218.988000,1.965960
72.620000,37.811851,0.196000,218.988000,218.988000,1.965960
72.625000,37.811851,0.196000,218.988000,218.988000,1.965960
72.630000,37.811851,0.196000,218.988000,218.988000,1.965960
72.635000,37.811851,0.196000,218.988000,218.988000,1.965960
