altitude,temperature,pressure,density
29900.000000,226.560000,1202.894048,0.018497
30000.000000,226.660000,1185.081130,0.018215
30100.000000,226.760000,1167.540790,0.017937
30200.000000,226.860000,1150.268723,0.017664
30300.000000,226.960000,1133.260695,0.017395
30400.000000,227.060000,1116.512541,0.017131
30500.000000,227.160000,1100.020162,0.016870
30600.000000,227.260000,1083.779529,0.016614
30700.000000,227.360000,1067.786675,0.016361
30800.000000,227.460000,1052.037699,0.016113
30900.000000,227.560000,1036.528764,0.015868
31000.000000,227.660000,1021.256094,0.015628
31100.000000,227.760000,1006.215975,0.015391
31200.000000,227.860000,991.404751,0.015158
31300.000000,227.960000,976.818829,0.014928
31400.000000,228.060000,962.454672,0.014702
31500.000000,228.160000,948.308799,0.014480
31600.000000,228.260000,934.377788,0.014261
31700.000000,228.360000,920.658270,0.014045
31800.000000,228.460000,907.146933,0.013833
31900.000000,228.560000,893.840516,0.013624
32000.000000,228.660000,880.735811,0.013418
32100.000000,228.940000,855.216941,0.013010
32200.000000,229.220000,842.657591,0.012803
32300.000000,229.500000,830.298446,0.012600
32400.000000,229.780000,818.136065,0.012400
32500.000000,230.060000,806.167073,0.012204
32600.000000,230.340000,794.388155,0.012011
32700.000000,230.620000,782.796058,0.011821
32800.000000,230.900000,771.387587,0.011635
32900.000000,231.180000,760.159609,0.011452
33000.000000,231.460000,749.109044,0.011271
33100.000000,231.740000,738.232872,0.011094
33200.000000,232.020000,727.528125,0.010920
33300.000000,232.300000,716.991891,0.010749
33400.000000,232.580000,706.621312,0.010581
33500.000000,232.860000,696.413578,0.010416
33600.000000,233.140000,686.365935,0.010253
33700.000000,233.420000,676.475675,0.010093
33800.000000,233.700000,666.740142,0.009936
33900.000000,233.980000,657.156725,0.009781
34000.000000,234.260000,647.722864,0.009629
34100.000000,234.540000,638.436041,0.009480
34200.000000,234.820000,629.293786,0.009333
34300.000000,235.100000,620.293673,0.009189
34400.000000,235.380000,611.433320,0.009047
34500.000000,235.660000,602.710387,0.008907
34600.000000,235.940000,594.122577,0.008770
34700.000000,236.220000,585.667632,0.008635
34800.000000,236.500000,577.343338,0.008502
34900.000000,236.780000,569.147516,0.008371
35000.000000,237.060000,561.078030,0.008243
35100.000000,237.340000,553.132781,0.008117
35200.000000,237.620000,545.309705,0.007992
35300.000000,237.900000,537.606778,0.007870
35400.000000,238.180000,530.022010,0.007750
35500.000000,238.460000,522.553447,0.007632
35600.000000,238.740000,515.199169,0.007516
35700.000000,239.020000,507.957291,0.007401
35800.000000,239.300000,500.825961,0.007289
35900.000000,239.580000,493.803359,0.007178
36000.000000,239.860000,486.887698,0.007069
36100.000000,240.140000,480.077222,0.006962
36200.000000,240.420000,473.370206,0.006857
36300.000000,240.700000,466.764955,0.006754
36400.000000,240.980000,460.259805,0.006652
36500.000000,241.260000,453.853119,0.006552
36600.000000,241.540000,447.543291,0.006453
36700.000000,241.820000,441.328742,0.006356
36800.000000,242.100000,435.207920,0.006261
36900.000000,242.380000,429.179301,0.006167
37000.000000,242.660000,423.241387,0.006074
37100.000000,242.940000,417.392707,0.005984
37200.000000,243.220000,411.631814,0.005894
37300.000000,243.500000,405.957288,0.005806
37400.000000,243.780000,400.367733,0.005720
37500.000000,244.060000,394.861776,0.005635
37600.000000,244.340000,389.438069,0.005551
37700.000000,244.620000,384.095287,0.005468
37800.000000,244.900000,378.832128,0.005387
37900.000000,245.180000,373.647313,0.005307
38000.000000,245.460000,368.539582,0.005229
38100.000000,245.740000,363.507702,0.005152
38200.000000,246.020000,358.550456,0.005076
38300.000000,246.300000,353.666652,0.005001
38400.000000,246.580000,348.855114,0.004927
38500.000000,246.860000,344.114692,0.004855
38600.000000,247.140000,339.444250,0.004783
38700.000000,247.420000,334.842674,0.004713
38800.000000,247.700000,330.308870,0.004644
38900.000000,247.980000,325.841760,0.004576
39000.000000,248.260000,321.440287,0.004509
39100.000000,248.540000,317.103411,0.004443
39200.000000,248.820000,312.830108,0.004379
39300.000000,249.100000,308.619375,0.004315
39400.000000,249.380000,304.470221,0.004252
39500.000000,249.660000,300.381678,0.004190
39600.000000,249.940000,296.352788,0.004129
39700.000000,250.220000,292.382614,0.004070
39800.000000,250.500000,288.470232,0.004011
39900.000000,250.780000,284.614735,0.003953
40000.000000,251.060000,280.815232,0.003895
40100.000000,251.340000,277.070844,0.003839
40200.000000,251.620000,273.380709,0.003784
40300.000000,251.900000,269.743979,0.003729
40400.000000,252.180000,266.159822,0.003676
40500.000000,252.460000,262.627416,0.003623
40600.000000,252.740000,259.145955,0.003571
40700.000000,253.020000,255.714648,0.003520
40800.000000,253.300000,252.332715,0.003469
40900.000000,253.580000,248.999389,0.003420
41000.000000,253.860000,245.713916,0.003371
41100.000000,254.140000,242.475557,0.003323
41200.000000,254.420000,239.283581,0.003275
41300.000000,254.700000,236.137271,0.003229
