time,thrust
1.488000,5430.850119
1.490000,5430.288813
1.492000,5429.727944
1.494000,5429.167509
1.496000,5428.607509
1.498000,5428.047943
1.500000,5427.488809
1.502000,5426.930108
1.504000,5426.371838
1.506000,5425.813999
1.508000,5425.256590
1.510000,5424.699611
1.512000,5424.143060
1.514000,5423.586938
1.516000,5423.031243
1.518000,5422.475975
1.520000,5421.921134
1.522000,5421.366718
1.524000,5420.812727
1.526000,5420.259160
1.528000,5419.706017
1.530000,5419.153296
1.532000,5418.600998
1.534000,5418.049122
1.536000,5417.497667
1.538000,5416.946632
1.540000,5416.396017
1.542000,5415.845821
1.544000,5415.296044
1.546000,5414.746685
1.548000,5414.197743
1.550000,5413.649217
1.552000,5413.101108
1.554000,5412.553414
1.556000,5412.006135
1.558000,5411.459270
1.560000,5410.912818
1.562000,5410.366780
1.564000,5409.821154
1.566000,5409.275940
1.568000,5408.731137
1.570000,5408.186745
1.572000,5407.642762
1.574000,5407.099190
1.576000,5406.556025
1.578000,5406.013270
1.580000,5405.470921
1.582000,5404.928980
1.584000,5404.387446
1.586000,5403.846317
1.588000,5403.305594
1.590000,5402.765275
1.592000,5402.225361
1.594000,5401.685850
1.596000,5401.146743
1.598000,5400.608038
1.600000,5400.069734
1.602000,5399.531833
1.604000,5398.994332
1.606000,5398.457231
1.608000,5397.920530
1.610000,5397.384228
1.612000,5396.848325
1.614000,5396.312819
1.616000,5395.777712
1.618000,5395.243001
1.620000,5394.708687
1.622000,5394.174768
1.624000,5393.641245
1.626000,5393.108117
1.628000,5392.575383
1.630000,5392.043043
1.632000,5391.511096
1.634000,5390.979542
1.636000,5390.448380
1.638000,5389.917609
1.640000,5389.387230
1.642000,5388.857241
1.644000,5388.327642
1.646000,5387.798433
1.648000,5387.269613
1.650000,5386.741181
1.652000,5386.213138
1.654000,5385.685482
1.656000,5385.158213
1.658000,5384.631330
1.660000,5384.104834
1.662000,5383.578723
1.664000,5383.052997
1.666000,5382.527655
1.668000,5382.002698
1.670000,5381.478124
1.672000,5380.953933
1.674000,5380.430124
1.676000,5379.906698
1.678000,5379.383653
1.680000,5378.860989
1.682000,5378.338705
1.684000,5377.816802
1.686000,5377.295278
1.688000,5376.774134
1.690000,5376.253368
1.692000,5375.732980
1.694000,5375.212970
1.696000,5374.693337
1.698000,5374.174081
1.700000,5373.655201
1.702000,5373.136697
1.704000,5372.618569
1.706000,5372.100815
1.708000,5371.583436
1.710000,5371.066430
1.712000,5370.549798
1.714000,5370.033539
1.716000,5369.517653
1.718000,5369.002139
1.720000,5368.486996
1.722000,5367.972225
1.724000,5367.457824
1.726000,5366.943794
1.728000,5366.430133
1.730000,5365.916842
1.732000,5365.403920
1.734000,5364.891367
1.736000,5364.379181
1.738000,5363.867363
1.740000,5363.355912
1.742000,5362.844828
1.744000,5362.334111
1.746000,5361.823759
1.748000,5361.313773
1.750000,5360.804151
1.752000,5360.294895
1.754000,5359.786002
1.756000,5359.277473
1.758000,5358.769308
1.760000,5358.261505
1.762000,5357.754065
1.764000,5357.246987
1.766000,5356.740270
1.768000,5356.233915
1.770000,5355.727920
1.772000,5355.222286
1.774000,5354.717011
1.776000,5354.212096
1.778000,5353.707541
1.780000,5353.203343
1.782000,5352.699505
1.784000,5352.196024
1.786000,5351.692900
1.788000,5351.190133
1.790000,5350.687724
1.792000,5350.185670
1.794000,5349.683972
